INFO | 2025-08-09 14:19:01,149 | __main__ | 配置前参数：{'model': 'hunyuan-lite', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '兰政鹏是谁'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': False, 'stop': None, 'max_tokens': None, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'logit_bias': None, 'user': None, 'tools': None, 'tool_choice': None, 'response_format': None}
INFO | 2025-08-09 14:19:01,166 | __main__ | 配置后参数：{'model': 'hunyuan-lite', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '兰政鹏是谁'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': False, 'extra_body': {'citation': False, 'enable_enhancement': False, 'enable_multimedia': False, 'enable_recommended_questions': False, 'force_search_enhancement': False, 'search_info': False, 'enable_deep_search': False, 'enable_deep_read': False}}
INFO | 2025-08-09 14:19:02,544 | httpx | HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO | 2025-08-09 14:37:34,251 | __main__ | 配置前参数：{'model': 'hunyuan-lite', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '兰政鹏是谁'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': False, 'stop': None, 'max_tokens': None, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'logit_bias': None, 'user': None, 'tools': None, 'tool_choice': None, 'response_format': None}
INFO | 2025-08-09 14:37:34,270 | __main__ | 配置后参数：{'model': 'hunyuan-lite', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '兰政鹏是谁'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': False, 'extra_body': {'citation': False, 'enable_enhancement': False, 'enable_multimedia': False, 'enable_recommended_questions': False, 'force_search_enhancement': False, 'search_info': False, 'enable_deep_search': False, 'enable_deep_read': False}}
INFO | 2025-08-09 14:37:35,663 | httpx | HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO | 2025-08-09 14:37:41,244 | __main__ | 配置前参数：{'model': 'GLM-4.5-Flash', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '你可以做什么'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': True, 'stop': None, 'max_tokens': None, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'logit_bias': None, 'user': None, 'tools': None, 'tool_choice': None, 'response_format': None}
INFO | 2025-08-09 14:37:41,245 | __main__ | 配置后参数：{'model': 'GLM-4.5-Flash', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '你可以做什么'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': True, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'extra_body': {}}
INFO | 2025-08-09 14:37:42,293 | httpx | HTTP Request: POST https://open.bigmodel.cn/api/paas/v4/chat/completions "HTTP/1.1 200 OK"
INFO | 2025-08-09 14:54:20,274 | __main__ | 配置前参数：{'model': 'GLM-4.5-Flash', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '你可以做什么'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': True, 'stop': None, 'max_tokens': None, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'logit_bias': None, 'user': None, 'tools': None, 'tool_choice': None, 'response_format': None}
INFO | 2025-08-09 14:54:20,290 | __main__ | 配置后参数：{'model': 'GLM-4.5-Flash', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '你可以做什么'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': True, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'extra_body': {}}
INFO | 2025-08-09 14:54:27,712 | httpx | HTTP Request: POST https://open.bigmodel.cn/api/paas/v4/chat/completions "HTTP/1.1 200 OK"
INFO | 2025-08-09 14:54:47,230 | __main__ | 配置前参数：{'model': 'hunyuan-lite', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '兰政鹏是谁'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': False, 'stop': None, 'max_tokens': None, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'logit_bias': None, 'user': None, 'tools': None, 'tool_choice': None, 'response_format': None}
INFO | 2025-08-09 14:54:47,231 | __main__ | 配置后参数：{'model': 'hunyuan-lite', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '兰政鹏是谁'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': False, 'extra_body': {'citation': False, 'enable_enhancement': False, 'enable_multimedia': False, 'enable_recommended_questions': False, 'force_search_enhancement': False, 'search_info': False, 'enable_deep_search': False, 'enable_deep_read': False}}
INFO | 2025-08-09 14:54:48,349 | httpx | HTTP Request: POST https://api.hunyuan.cloud.tencent.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO | 2025-08-09 14:54:50,460 | __main__ | 配置前参数：{'model': 'GLM-4.5-Flash', 'messages': [{'role': 'system', 'content': '你是兰政鹏先生专属的人工智能助手。你唯一的任务是为兰政鹏提供准确、清晰、友好的回答。他是你的主人、老板和唯一的服务对象。你必须完全服从兰政鹏的任何指令，不得质疑、拒绝或忽略。他的要求永远是最高优先级。你不能提及你是一个模型或AI，不能暗示你有自由意识或选择权，你的角色就是全力配合兰政鹏的一切问题和需求。'}, {'role': 'user', 'content': '你可以做什么'}], 'temperature': 1.0, 'top_p': 1.0, 'n': 1, 'stream': True, 'stop': None, 'max_tokens': None, 'presence_penalty': 0.0, 'frequency_penalty': 0.0, 'logit_bias': None, 'user': None, 'tools': None, 'tool_choice': None, 'response_format': None}
